event_id,nga_west2_eqid,hypocenter_longitude,hypocenter_latitude,event_country,event_subdivision,event_name,comcat_id,event_type_id,datetime,time_zone,hypocenter_reported_depth,hypocenter_reported_depth_datum,epicenter_elevation,hypocenter_depth,magnitude,magnitude_type,magnitude_uncertainty_kagan_model,magnitude_uncertainty_statistical,magnitude_sample_size,magnitude_uncertainty_study_class,strike,dip,rake,mechanism_based_on_rake,slip_rate,seismic_moment,p_plunge,p_trend,t_plunge,t_trend,coseismic_surface_rupture,basis_for_surface_rupture,extensional_regime,extensional_regime_name,synchronous_event,event_type
3608,-999,13.2598,46.259,Italy,Udine,IT-1976-0002,-999,1,1976-05-06 20:00:12,UTC,-999.0,-999,0.474,6.5,6.4,Mw,-999.0,-999.0,-999,-999.0,290.0,30.0,105.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3611,-999,12.891,46.15,Italy,Pordenone,IT-1976-0017,usp0000gxk,1,1976-06-17 14:28:47,UTC,-999.0,-999,0.15,9.5,5.2,Mw,-999.0,-999.0,-999,-999.0,305.0,60.0,139.0,3.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3612,-999,13.198,46.275,Italy,Udine,IT-1976-0024,usp0000jbc,1,1976-09-11 16:31:10,UTC,-999.0,-999,0.719,9.8,5.2,Mw,-999.0,-999.0,-999,-999.0,58.741,40.0,90.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3613,-999,13.2032,46.2874,Italy,Udine,IT-1976-0027,-999,1,1976-09-15 03:15:18,UTC,-999.0,-999,0.794,5.155,5.9,Mw,-999.0,-999.0,-999,-999.0,274.0,35.0,90.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3614,-999,13.1741,46.301,Italy,Udine,IT-1976-0030,-999,1,1976-09-15 09:21:18,UTC,-999.0,-999,1.535,10.171,6.0,Mw,-999.0,-999.0,-999,-999.0,276.0,35.0,110.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3615,-999,13.019,46.283,Italy,Udine,IT-1977-0008,usp0000qpe,1,1977-09-16 23:48:07,UTC,-999.0,-999,0.965,10.8,5.3,Mw,-999.0,-999.0,-999,-999.0,298.0,24.0,117.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,0,-999,0,Shallow Crustal
3616,-999,15.9121,38.0787,Italy,Reggio Calabria,IT-1978-0002,usp0000tbq,1,1978-03-11 19:20:49,UTC,-999.0,-999,1.226,23.5328,5.2,Mw,-999.0,-999.0,-999,-999.0,270.0,41.0,-72.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1,Apennines,0,Shallow Crustal
3617,-999,15.056,38.2426,Italy,-999,IT-1978-0004,-999,1,1978-04-15 23:33:47,UTC,-999.0,-999,0.0,10.036,6.0,Mw,-999.0,-999.0,-999,-999.0,147.0,83.0,180.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1,Apennines,0,Shallow Crustal
3618,-999,13.0209,42.7719,Italy,Perugia,IT-1979-0009,-999,1,1979-09-19 21:35:39,UTC,-999.0,-999,0.836,9.8401,5.8,Mw,-999.0,-999.0,-999,-999.0,150.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1,Apennines,0,Shallow Crustal
3622,-999,15.258,40.915,Italy,Avellino,IT-1980-0020,usp0001ayw,1,1980-11-24 03:03:55,UTC,-999.0,-999,0.565,12.0,5.0,Mw,-999.0,-999.0,-999,-999.0,42.6156,40.0,90.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1,Apennines,0,Shallow Crustal
