station_id,site_id,network_id,station_name,station_latitude,station_longitude,station_elevation,station_code,housing,cosmos_station_type,sensor_depth,installation_date,removal_date
4326,4324,12,Leeward Rd Sea Ranch,38.73782,-123.48893,25,G001,,2,,2011-09-13,2012-12-06
4349,4343,30,King Island Resort,38.0551,-121.458,-3,KIR,,4,,,
4812,4797,12,"Miami Mountain, Sierra National Forest, Mariposa C",37.41964,-119.74378,1299,MMO,,1,0,,
5568,6324,6,Oroville - Park & Rec District,39.5113,-121.5041,123,77352,,1,0,2005-03-08,3000-01-01
5595,6031,27,Frenchman Dam Left Abutment,39.89458,-120.18919,1712.1,FRDLA,,12,0,2020-12-10,3000-01-01
5696,6432,83,Maffei,37.83582,-122.21465,0,T000171,,5,0,,
5913,6543,83,Julians Office New Client,34.138,-118.124,0,T000602,,4,0,,
6014,6549,83,JPL 238-660,34.20165,-118.17417,0,T000739,,10,-15,,
6083,6574,83,JPL 200-219,34.1974,-118.17255,0,T000875,,10,-3,,
6096,3797,83,Millikan 1st floor,34.13686,-118.12623,0,T000893,,5,0,,
6099,6631,83,Jackson Hole Simmons,43.5385,-110.814,0,T000899,,10,-3,,
6102,6634,83,SCF Waite,29.76041,-95.36401,0,T000904,,10,-15,,
6104,6635,83,USC UPH residence,34.12569,-118.11911,0,T000914,,4,0,,
6120,6641,83,Mazzoni,34.03283,-118.4862,0,T000943,,4,0,,
6126,6645,83,David Drake,33.12948,-117.05518,0,T000965,,4,0,,
6128,6619,83,csn-field-1.gps.caltech.edu,34.1478,-118.1445,0,T000999,,4,0,,
6138,6656,83,LAUSD Ortho Hosp Magnet,34.02884,-118.27121,0,T001009,,4,0,,
6266,6784,83,Lu,47.60749,-122.33824,0,T001251,,10,-3,,
6267,6785,83,Luke Wang Office,34.12244,-118.10347,0,T001255,,10,-6,,
6268,6786,83,Luke Wang Building,34.0849,-118.14594,0,T001256,,4,0,,
